맥주소,시리얼넘버,개소명,디바이스 타입,고정 할당 IP,Gateway IP ,Subnetmask,Server IP(4137),NTP IP(123),존 이름,위도,경도
D86595040092,TM_BUAN_000019,풍류-C-01,수집센서,192.168.37.31,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,풍류주택가,35.73052874,126.7316997
D86595040093,TM_BUAN_000020,풍류-C-02,환경센서,192.168.37.11,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,풍류주택가,35.72914864,126.7301763
D86595040081,TM_BUAN_000002,풍류-C-03,수집센서,192.168.37.12,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,풍류매화 주택가,35.72765562,126.7305488
D86595040082,TM_BUAN_000003,풍류-C-04,수집센서,192.168.37.13,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,풍류매화 주택가,35.72741777,126.7309917
D86595040083,TM_BUAN_000004,풍류-C-05,수집센서,192.168.37.14,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,풍류매화 주택가,35.7271713,126.7316115
D86595040084,TM_BUAN_000005,풍류-C-06,수집센서,192.168.37.15,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안상설시장,35.72737154,126.7324896
D86595040085,TM_BUAN_000006,풍류-C-07,수집센서,192.168.37.16,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안초등학교,35.72859554,126.7327259
D86595040086,TM_BUAN_000007,풍류-C-08,수집센서,192.168.37.17,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안초등학교,35.7285673,126.7321871
D86595040094,TM_BUAN_000021,풍류-C-09,환경센서,192.168.37.18,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안초등학교,35.72949728,126.7329384
D86595040087,TM_BUAN_000008,풍류-C-10,수집센서,192.168.37.19,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안초등학교,35.72965985,126.7341067
D86595040088,TM_BUAN_000009,풍류-C-11,수집센서,192.168.37.20,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안초등학교,35.7293715,126.7351578
D86595040095,TM_BUAN_000022,풍류-C-12,환경센서,192.168.37.21,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안시외버스터미널,35.72872624,126.7357955
D86595040089,TM_BUAN_000010,풍류-C-13,수집센서,192.168.37.22,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안시외버스터미널,35.72741836,126.7363469
D8659504008A,TM_BUAN_000011,풍류-C-14,수집센서,192.168.37.23,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안시외버스터미널,35.73024921,126.7367382
D8659504008B,TM_BUAN_000012,풍류-C-15,수집센서,192.168.37.24,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안시외버스터미널,35.72836908,126.7373247
D8659504008C,TM_BUAN_000013,풍류-C-16,수집센서,192.168.37.25,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안시외버스터미널,35.72634386,126.7375027
D8659504008D,TM_BUAN_000014,풍류-C-17,수집센서,192.168.37.26,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안시외버스터미널,35.72513093,126.7371696
D8659504008E,TM_BUAN_000015,풍류-C-18,수집센서,192.168.37.27,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,풍류매화 상가거리,35.72315981,126.7353027
D8659504008F,TM_BUAN_000016,풍류-C-19,수집센서,192.168.37.28,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,풍류매화 상가거리,35.72513543,126.7351138
D86595040090,TM_BUAN_000017,풍류-C-20,수집센서,192.168.37.29,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안상설시장,35.72610106,126.7346684
D86595040091,TM_BUAN_000018,풍류-C-21,수집센서,192.168.37.30,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안상설시장,35.7256334,126.7330812
D86595040080,TM_BUAN_000001,풍류-C-22,수집센서,192.168.37.10,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,부안상설시장,35.72571883,126.7319811
D86595040096,TM_BUAN_000023,풍류-C-23,수집센서,192.168.37.32,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,해뜰마루,35.72552614,126.7438607
D86595040097,TM_BUAN_000024,풍류-C-24,수집센서,192.168.37.33,192.168.37.254,255.255.255.0,10.254.14.100,192.168.10.84,해뜰마루,35.72606061,126.7462049
