,zone,data,time
0,R&D 연구시설단지,1077,2022-01-03T15:00:00.000Z
1,R&D 연구시설단지,1008,2022-01-04T15:00:00.000Z
2,R&D 연구시설단지,991,2022-01-05T15:00:00.000Z
3,R&D 연구시설단지,1031,2022-01-06T15:00:00.000Z
4,R&D 연구시설단지,678,2022-01-07T15:00:00.000Z
5,R&D 연구시설단지,496,2022-01-08T15:00:00.000Z
6,R&D 연구시설단지,1059,2022-01-09T15:00:00.000Z
7,R&D 연구시설단지,1046,2022-01-10T15:00:00.000Z
8,R&D 연구시설단지,1021,2022-01-11T15:00:00.000Z
9,R&D 연구시설단지,1044,2022-01-12T15:00:00.000Z
10,R&D 연구시설단지,1013,2022-01-13T15:00:00.000Z
11,R&D 연구시설단지,637,2022-01-14T15:00:00.000Z
12,R&D 연구시설단지,467,2022-01-15T15:00:00.000Z
13,R&D 연구시설단지,971,2022-01-16T15:00:00.000Z
14,R&D 연구시설단지,1047,2022-01-17T15:00:00.000Z
15,R&D 연구시설단지,1000,2022-01-18T15:00:00.000Z
16,R&D 연구시설단지,978,2022-01-19T15:00:00.000Z
17,R&D 연구시설단지,971,2022-01-20T15:00:00.000Z
18,R&D 연구시설단지,660,2022-01-21T15:00:00.000Z
19,R&D 연구시설단지,489,2022-01-22T15:00:00.000Z
20,R&D 연구시설단지,962,2022-01-23T15:00:00.000Z
21,R&D 연구시설단지,1084,2022-01-24T15:00:00.000Z
22,R&D 연구시설단지,1027,2022-01-25T15:00:00.000Z
23,R&D 연구시설단지,1033,2022-01-26T15:00:00.000Z
24,R&D 연구시설단지,1010,2022-01-27T15:00:00.000Z
25,R&D 연구시설단지,610,2022-01-28T15:00:00.000Z
26,R&D 연구시설단지,468,2022-01-29T15:00:00.000Z
27,R&D 연구시설단지,430,2022-01-30T15:00:00.000Z
28,R&D 연구시설단지,438,2022-01-31T15:00:00.000Z
29,R&D 연구시설단지,449,2022-02-01T15:00:00.000Z
30,R&D 연구시설단지,1016,2022-02-02T15:00:00.000Z
31,R&D 연구시설단지,1110,2022-02-03T15:00:00.000Z
32,R&D 연구시설단지,648,2022-02-04T15:00:00.000Z
33,R&D 연구시설단지,527,2022-02-05T15:00:00.000Z
34,R&D 연구시설단지,1043,2022-02-06T15:00:00.000Z
35,R&D 연구시설단지,1051,2022-02-07T15:00:00.000Z
36,R&D 연구시설단지,1107,2022-02-08T15:00:00.000Z
37,R&D 연구시설단지,1065,2022-02-09T15:00:00.000Z
38,R&D 연구시설단지,1063,2022-02-10T15:00:00.000Z
39,R&D 연구시설단지,675,2022-02-11T15:00:00.000Z
40,R&D 연구시설단지,506,2022-02-12T15:00:00.000Z
41,R&D 연구시설단지,1010,2022-02-13T15:00:00.000Z
42,R&D 연구시설단지,1021,2022-02-14T15:00:00.000Z
43,R&D 연구시설단지,1063,2022-02-15T15:00:00.000Z
44,R&D 연구시설단지,1073,2022-02-16T15:00:00.000Z
45,R&D 연구시설단지,1012,2022-02-17T15:00:00.000Z
46,R&D 연구시설단지,688,2022-02-18T15:00:00.000Z
47,R&D 연구시설단지,524,2022-02-19T15:00:00.000Z
48,R&D 연구시설단지,1044,2022-02-20T15:00:00.000Z
49,R&D 연구시설단지,1020,2022-02-21T15:00:00.000Z
50,R&D 연구시설단지,1135,2022-02-22T15:00:00.000Z
51,R&D 연구시설단지,1058,2022-02-23T15:00:00.000Z
52,R&D 연구시설단지,1051,2022-02-24T15:00:00.000Z
53,R&D 연구시설단지,665,2022-02-25T15:00:00.000Z
54,R&D 연구시설단지,520,2022-02-26T15:00:00.000Z
55,R&D 연구시설단지,934,2022-02-27T15:00:00.000Z
56,R&D 연구시설단지,625,2022-02-28T15:00:00.000Z
57,R&D 연구시설단지,1001,2022-03-01T15:00:00.000Z
58,R&D 연구시설단지,1028,2022-03-02T15:00:00.000Z
59,미래형자동차,1430,2022-01-03T15:00:00.000Z
60,미래형자동차,1501,2022-01-04T15:00:00.000Z
61,미래형자동차,1425,2022-01-05T15:00:00.000Z
62,미래형자동차,1409,2022-01-06T15:00:00.000Z
63,미래형자동차,870,2022-01-07T15:00:00.000Z
64,미래형자동차,616,2022-01-08T15:00:00.000Z
65,미래형자동차,1445,2022-01-09T15:00:00.000Z
66,미래형자동차,1423,2022-01-10T15:00:00.000Z
67,미래형자동차,1520,2022-01-11T15:00:00.000Z
68,미래형자동차,1491,2022-01-12T15:00:00.000Z
69,미래형자동차,1463,2022-01-13T15:00:00.000Z
70,미래형자동차,875,2022-01-14T15:00:00.000Z
71,미래형자동차,619,2022-01-15T15:00:00.000Z
72,미래형자동차,1521,2022-01-16T15:00:00.000Z
73,미래형자동차,1471,2022-01-17T15:00:00.000Z
74,미래형자동차,1593,2022-01-18T15:00:00.000Z
75,미래형자동차,1490,2022-01-19T15:00:00.000Z
76,미래형자동차,1579,2022-01-20T15:00:00.000Z
77,미래형자동차,924,2022-01-21T15:00:00.000Z
78,미래형자동차,661,2022-01-22T15:00:00.000Z
79,미래형자동차,1476,2022-01-23T15:00:00.000Z
80,미래형자동차,1550,2022-01-24T15:00:00.000Z
81,미래형자동차,1518,2022-01-25T15:00:00.000Z
82,미래형자동차,1538,2022-01-26T15:00:00.000Z
83,미래형자동차,1528,2022-01-27T15:00:00.000Z
84,미래형자동차,775,2022-01-28T15:00:00.000Z
85,미래형자동차,651,2022-01-29T15:00:00.000Z
86,미래형자동차,561,2022-01-30T15:00:00.000Z
87,미래형자동차,752,2022-01-31T15:00:00.000Z
88,미래형자동차,636,2022-02-01T15:00:00.000Z
89,미래형자동차,1345,2022-02-02T15:00:00.000Z
90,미래형자동차,1478,2022-02-03T15:00:00.000Z
91,미래형자동차,922,2022-02-04T15:00:00.000Z
92,미래형자동차,637,2022-02-05T15:00:00.000Z
93,미래형자동차,1492,2022-02-06T15:00:00.000Z
94,미래형자동차,1492,2022-02-07T15:00:00.000Z
95,미래형자동차,1507,2022-02-08T15:00:00.000Z
96,미래형자동차,1493,2022-02-09T15:00:00.000Z
97,미래형자동차,1429,2022-02-10T15:00:00.000Z
98,미래형자동차,913,2022-02-11T15:00:00.000Z
99,미래형자동차,692,2022-02-12T15:00:00.000Z
100,미래형자동차,1465,2022-02-13T15:00:00.000Z
101,미래형자동차,1518,2022-02-14T15:00:00.000Z
102,미래형자동차,1540,2022-02-15T15:00:00.000Z
103,미래형자동차,1542,2022-02-16T15:00:00.000Z
104,미래형자동차,1474,2022-02-17T15:00:00.000Z
105,미래형자동차,935,2022-02-18T15:00:00.000Z
106,미래형자동차,703,2022-02-19T15:00:00.000Z
107,미래형자동차,1520,2022-02-20T15:00:00.000Z
108,미래형자동차,1526,2022-02-21T15:00:00.000Z
109,미래형자동차,1553,2022-02-22T15:00:00.000Z
110,미래형자동차,1492,2022-02-23T15:00:00.000Z
111,미래형자동차,1491,2022-02-24T15:00:00.000Z
112,미래형자동차,904,2022-02-25T15:00:00.000Z
113,미래형자동차,718,2022-02-26T15:00:00.000Z
114,미래형자동차,1386,2022-02-27T15:00:00.000Z
115,미래형자동차,938,2022-02-28T15:00:00.000Z
116,미래형자동차,1443,2022-03-01T15:00:00.000Z
117,미래형자동차,1470,2022-03-02T15:00:00.000Z
118,전체,6060,2022-01-17T15:00:00.000Z
119,전체,6436,2022-01-18T15:00:00.000Z
120,전체,6004,2022-01-19T15:00:00.000Z
121,전체,6233,2022-01-20T15:00:00.000Z
122,전체,4683,2022-01-21T15:00:00.000Z
123,전체,3494,2022-01-22T15:00:00.000Z
124,전체,6111,2022-01-23T15:00:00.000Z
125,전체,6508,2022-01-24T15:00:00.000Z
126,전체,6598,2022-01-25T15:00:00.000Z
127,전체,6431,2022-01-26T15:00:00.000Z
128,전체,6419,2022-01-27T15:00:00.000Z
129,전체,4197,2022-01-28T15:00:00.000Z
130,전체,3516,2022-01-29T15:00:00.000Z
131,전체,3490,2022-01-30T15:00:00.000Z
132,전체,3789,2022-01-31T15:00:00.000Z
133,전체,3319,2022-02-01T15:00:00.000Z
134,전체,5860,2022-02-02T15:00:00.000Z
135,전체,6344,2022-02-03T15:00:00.000Z
136,전체,4356,2022-02-04T15:00:00.000Z
137,전체,3395,2022-02-05T15:00:00.000Z
138,전체,6143,2022-02-06T15:00:00.000Z
139,전체,6164,2022-02-07T15:00:00.000Z
140,전체,6453,2022-02-08T15:00:00.000Z
141,전체,6050,2022-02-09T15:00:00.000Z
142,전체,6177,2022-02-10T15:00:00.000Z
143,전체,4638,2022-02-11T15:00:00.000Z
144,전체,3487,2022-02-12T15:00:00.000Z
145,전체,6038,2022-02-13T15:00:00.000Z
146,전체,5959,2022-02-14T15:00:00.000Z
147,전체,5981,2022-02-15T15:00:00.000Z
148,전체,5971,2022-02-16T15:00:00.000Z
149,전체,6141,2022-02-17T15:00:00.000Z
150,전체,4556,2022-02-18T15:00:00.000Z
151,전체,3482,2022-02-19T15:00:00.000Z
152,전체,6076,2022-02-20T15:00:00.000Z
153,전체,6086,2022-02-21T15:00:00.000Z
154,전체,6168,2022-02-22T15:00:00.000Z
155,전체,5958,2022-02-23T15:00:00.000Z
156,전체,6206,2022-02-24T15:00:00.000Z
157,전체,4516,2022-02-25T15:00:00.000Z
158,전체,3729,2022-02-26T15:00:00.000Z
159,전체,5852,2022-02-27T15:00:00.000Z
160,전체,4396,2022-02-28T15:00:00.000Z
161,전체,6552,2022-03-01T15:00:00.000Z
162,전체,6251,2022-03-02T15:00:00.000Z
163,주거단지,4147,2022-01-03T15:00:00.000Z
164,주거단지,4226,2022-01-04T15:00:00.000Z
165,주거단지,3884,2022-01-05T15:00:00.000Z
166,주거단지,4007,2022-01-06T15:00:00.000Z
167,주거단지,3492,2022-01-07T15:00:00.000Z
168,주거단지,2696,2022-01-08T15:00:00.000Z
169,주거단지,4114,2022-01-09T15:00:00.000Z
170,주거단지,3829,2022-01-10T15:00:00.000Z
171,주거단지,4158,2022-01-11T15:00:00.000Z
172,주거단지,3922,2022-01-12T15:00:00.000Z
173,주거단지,4120,2022-01-13T15:00:00.000Z
174,주거단지,3572,2022-01-14T15:00:00.000Z
175,주거단지,2749,2022-01-15T15:00:00.000Z
176,주거단지,4051,2022-01-16T15:00:00.000Z
177,주거단지,4045,2022-01-17T15:00:00.000Z
178,주거단지,4365,2022-01-18T15:00:00.000Z
179,주거단지,4068,2022-01-19T15:00:00.000Z
180,주거단지,4195,2022-01-20T15:00:00.000Z
181,주거단지,3660,2022-01-21T15:00:00.000Z
182,주거단지,2791,2022-01-22T15:00:00.000Z
183,주거단지,4239,2022-01-23T15:00:00.000Z
184,주거단지,4371,2022-01-24T15:00:00.000Z
185,주거단지,4622,2022-01-25T15:00:00.000Z
186,주거단지,4334,2022-01-26T15:00:00.000Z
187,주거단지,4380,2022-01-27T15:00:00.000Z
188,주거단지,3401,2022-01-28T15:00:00.000Z
189,주거단지,2843,2022-01-29T15:00:00.000Z
190,주거단지,2910,2022-01-30T15:00:00.000Z
191,주거단지,3053,2022-01-31T15:00:00.000Z
192,주거단지,2693,2022-02-01T15:00:00.000Z
193,주거단지,3921,2022-02-02T15:00:00.000Z
194,주거단지,4122,2022-02-03T15:00:00.000Z
195,주거단지,3260,2022-02-04T15:00:00.000Z
196,주거단지,2623,2022-02-05T15:00:00.000Z
197,주거단지,4150,2022-02-06T15:00:00.000Z
198,주거단지,4144,2022-02-07T15:00:00.000Z
199,주거단지,4449,2022-02-08T15:00:00.000Z
200,주거단지,4116,2022-02-09T15:00:00.000Z
201,주거단지,4227,2022-02-10T15:00:00.000Z
202,주거단지,3523,2022-02-11T15:00:00.000Z
203,주거단지,2750,2022-02-12T15:00:00.000Z
204,주거단지,4067,2022-02-13T15:00:00.000Z
205,주거단지,4038,2022-02-14T15:00:00.000Z
206,주거단지,4040,2022-02-15T15:00:00.000Z
207,주거단지,3935,2022-02-16T15:00:00.000Z
208,주거단지,4209,2022-02-17T15:00:00.000Z
209,주거단지,3421,2022-02-18T15:00:00.000Z
210,주거단지,2739,2022-02-19T15:00:00.000Z
211,주거단지,4069,2022-02-20T15:00:00.000Z
212,주거단지,4076,2022-02-21T15:00:00.000Z
