,zone,data,time
0,R&D 연구시설단지,689,2022-01-03T15:00:00.000Z
1,R&D 연구시설단지,683,2022-01-04T15:00:00.000Z
2,R&D 연구시설단지,700,2022-01-05T15:00:00.000Z
3,R&D 연구시설단지,685,2022-01-06T15:00:00.000Z
4,R&D 연구시설단지,443,2022-01-07T15:00:00.000Z
5,R&D 연구시설단지,343,2022-01-08T15:00:00.000Z
6,R&D 연구시설단지,710,2022-01-09T15:00:00.000Z
7,R&D 연구시설단지,713,2022-01-10T15:00:00.000Z
8,R&D 연구시설단지,704,2022-01-11T15:00:00.000Z
9,R&D 연구시설단지,665,2022-01-12T15:00:00.000Z
10,R&D 연구시설단지,683,2022-01-13T15:00:00.000Z
11,R&D 연구시설단지,435,2022-01-14T15:00:00.000Z
12,R&D 연구시설단지,326,2022-01-15T15:00:00.000Z
13,R&D 연구시설단지,646,2022-01-16T15:00:00.000Z
14,R&D 연구시설단지,684,2022-01-17T15:00:00.000Z
15,R&D 연구시설단지,657,2022-01-18T15:00:00.000Z
16,R&D 연구시설단지,672,2022-01-19T15:00:00.000Z
17,R&D 연구시설단지,666,2022-01-20T15:00:00.000Z
18,R&D 연구시설단지,420,2022-01-21T15:00:00.000Z
19,R&D 연구시설단지,332,2022-01-22T15:00:00.000Z
20,R&D 연구시설단지,674,2022-01-23T15:00:00.000Z
21,R&D 연구시설단지,723,2022-01-24T15:00:00.000Z
22,R&D 연구시설단지,708,2022-01-25T15:00:00.000Z
23,R&D 연구시설단지,692,2022-01-26T15:00:00.000Z
24,R&D 연구시설단지,699,2022-01-27T15:00:00.000Z
25,R&D 연구시설단지,418,2022-01-28T15:00:00.000Z
26,R&D 연구시설단지,315,2022-01-29T15:00:00.000Z
27,R&D 연구시설단지,288,2022-01-30T15:00:00.000Z
28,R&D 연구시설단지,255,2022-01-31T15:00:00.000Z
29,R&D 연구시설단지,303,2022-02-01T15:00:00.000Z
30,R&D 연구시설단지,602,2022-02-02T15:00:00.000Z
31,R&D 연구시설단지,636,2022-02-03T15:00:00.000Z
32,R&D 연구시설단지,445,2022-02-04T15:00:00.000Z
33,R&D 연구시설단지,380,2022-02-05T15:00:00.000Z
34,R&D 연구시설단지,658,2022-02-06T15:00:00.000Z
35,R&D 연구시설단지,664,2022-02-07T15:00:00.000Z
36,R&D 연구시설단지,731,2022-02-08T15:00:00.000Z
37,R&D 연구시설단지,741,2022-02-09T15:00:00.000Z
38,R&D 연구시설단지,763,2022-02-10T15:00:00.000Z
39,R&D 연구시설단지,468,2022-02-11T15:00:00.000Z
40,R&D 연구시설단지,362,2022-02-12T15:00:00.000Z
41,R&D 연구시설단지,689,2022-02-13T15:00:00.000Z
42,R&D 연구시설단지,711,2022-02-14T15:00:00.000Z
43,R&D 연구시설단지,725,2022-02-15T15:00:00.000Z
44,R&D 연구시설단지,734,2022-02-16T15:00:00.000Z
45,R&D 연구시설단지,718,2022-02-17T15:00:00.000Z
46,R&D 연구시설단지,486,2022-02-18T15:00:00.000Z
47,R&D 연구시설단지,363,2022-02-19T15:00:00.000Z
48,R&D 연구시설단지,691,2022-02-20T15:00:00.000Z
49,R&D 연구시설단지,718,2022-02-21T15:00:00.000Z
50,R&D 연구시설단지,762,2022-02-22T15:00:00.000Z
51,R&D 연구시설단지,755,2022-02-23T15:00:00.000Z
52,R&D 연구시설단지,722,2022-02-24T15:00:00.000Z
53,R&D 연구시설단지,468,2022-02-25T15:00:00.000Z
54,R&D 연구시설단지,361,2022-02-26T15:00:00.000Z
55,R&D 연구시설단지,645,2022-02-27T15:00:00.000Z
56,R&D 연구시설단지,450,2022-02-28T15:00:00.000Z
57,R&D 연구시설단지,683,2022-03-01T15:00:00.000Z
58,R&D 연구시설단지,719,2022-03-02T15:00:00.000Z
59,미래형자동차,951,2022-01-03T15:00:00.000Z
60,미래형자동차,988,2022-01-04T15:00:00.000Z
61,미래형자동차,947,2022-01-05T15:00:00.000Z
62,미래형자동차,931,2022-01-06T15:00:00.000Z
63,미래형자동차,556,2022-01-07T15:00:00.000Z
64,미래형자동차,371,2022-01-08T15:00:00.000Z
65,미래형자동차,981,2022-01-09T15:00:00.000Z
66,미래형자동차,969,2022-01-10T15:00:00.000Z
67,미래형자동차,999,2022-01-11T15:00:00.000Z
68,미래형자동차,989,2022-01-12T15:00:00.000Z
69,미래형자동차,1035,2022-01-13T15:00:00.000Z
70,미래형자동차,567,2022-01-14T15:00:00.000Z
71,미래형자동차,367,2022-01-15T15:00:00.000Z
72,미래형자동차,1026,2022-01-16T15:00:00.000Z
73,미래형자동차,1005,2022-01-17T15:00:00.000Z
74,미래형자동차,1031,2022-01-18T15:00:00.000Z
75,미래형자동차,999,2022-01-19T15:00:00.000Z
76,미래형자동차,1025,2022-01-20T15:00:00.000Z
77,미래형자동차,573,2022-01-21T15:00:00.000Z
78,미래형자동차,401,2022-01-22T15:00:00.000Z
79,미래형자동차,987,2022-01-23T15:00:00.000Z
80,미래형자동차,1004,2022-01-24T15:00:00.000Z
81,미래형자동차,1010,2022-01-25T15:00:00.000Z
82,미래형자동차,981,2022-01-26T15:00:00.000Z
83,미래형자동차,990,2022-01-27T15:00:00.000Z
84,미래형자동차,493,2022-01-28T15:00:00.000Z
85,미래형자동차,372,2022-01-29T15:00:00.000Z
86,미래형자동차,291,2022-01-30T15:00:00.000Z
87,미래형자동차,288,2022-01-31T15:00:00.000Z
88,미래형자동차,352,2022-02-01T15:00:00.000Z
89,미래형자동차,785,2022-02-02T15:00:00.000Z
90,미래형자동차,849,2022-02-03T15:00:00.000Z
91,미래형자동차,561,2022-02-04T15:00:00.000Z
92,미래형자동차,388,2022-02-05T15:00:00.000Z
93,미래형자동차,836,2022-02-06T15:00:00.000Z
94,미래형자동차,919,2022-02-07T15:00:00.000Z
95,미래형자동차,935,2022-02-08T15:00:00.000Z
96,미래형자동차,997,2022-02-09T15:00:00.000Z
97,미래형자동차,988,2022-02-10T15:00:00.000Z
98,미래형자동차,585,2022-02-11T15:00:00.000Z
99,미래형자동차,374,2022-02-12T15:00:00.000Z
100,미래형자동차,995,2022-02-13T15:00:00.000Z
101,미래형자동차,1018,2022-02-14T15:00:00.000Z
102,미래형자동차,1038,2022-02-15T15:00:00.000Z
103,미래형자동차,1064,2022-02-16T15:00:00.000Z
104,미래형자동차,974,2022-02-17T15:00:00.000Z
105,미래형자동차,599,2022-02-18T15:00:00.000Z
106,미래형자동차,414,2022-02-19T15:00:00.000Z
107,미래형자동차,999,2022-02-20T15:00:00.000Z
108,미래형자동차,987,2022-02-21T15:00:00.000Z
109,미래형자동차,1020,2022-02-22T15:00:00.000Z
110,미래형자동차,990,2022-02-23T15:00:00.000Z
111,미래형자동차,992,2022-02-24T15:00:00.000Z
112,미래형자동차,567,2022-02-25T15:00:00.000Z
113,미래형자동차,432,2022-02-26T15:00:00.000Z
114,미래형자동차,895,2022-02-27T15:00:00.000Z
115,미래형자동차,604,2022-02-28T15:00:00.000Z
116,미래형자동차,920,2022-03-01T15:00:00.000Z
