,zone,data,time
0,R&D 연구시설단지,2285,2022-01-03T15:00:00.000Z
1,R&D 연구시설단지,2496,2022-01-04T15:00:00.000Z
2,R&D 연구시설단지,2420,2022-01-05T15:00:00.000Z
3,R&D 연구시설단지,2422,2022-01-06T15:00:00.000Z
4,R&D 연구시설단지,2576,2022-01-07T15:00:00.000Z
5,R&D 연구시설단지,2772,2022-01-08T15:00:00.000Z
6,R&D 연구시설단지,2415,2022-01-09T15:00:00.000Z
7,R&D 연구시설단지,2400,2022-01-10T15:00:00.000Z
8,R&D 연구시설단지,2225,2022-01-11T15:00:00.000Z
9,R&D 연구시설단지,2723,2022-01-12T15:00:00.000Z
10,R&D 연구시설단지,2479,2022-01-13T15:00:00.000Z
11,R&D 연구시설단지,2661,2022-01-14T15:00:00.000Z
12,R&D 연구시설단지,2889,2022-01-15T15:00:00.000Z
13,R&D 연구시설단지,2338,2022-01-16T15:00:00.000Z
14,R&D 연구시설단지,2612,2022-01-17T15:00:00.000Z
15,R&D 연구시설단지,2171,2022-01-18T15:00:00.000Z
16,R&D 연구시설단지,2616,2022-01-19T15:00:00.000Z
17,R&D 연구시설단지,2683,2022-01-20T15:00:00.000Z
18,R&D 연구시설단지,3132,2022-01-21T15:00:00.000Z
19,R&D 연구시설단지,2637,2022-01-22T15:00:00.000Z
20,R&D 연구시설단지,2328,2022-01-23T15:00:00.000Z
21,R&D 연구시설단지,2569,2022-01-24T15:00:00.000Z
22,R&D 연구시설단지,2417,2022-01-25T15:00:00.000Z
23,R&D 연구시설단지,2485,2022-01-26T15:00:00.000Z
24,R&D 연구시설단지,2279,2022-01-27T15:00:00.000Z
25,R&D 연구시설단지,2486,2022-01-28T15:00:00.000Z
26,R&D 연구시설단지,2230,2022-01-29T15:00:00.000Z
27,R&D 연구시설단지,2456,2022-01-30T15:00:00.000Z
28,R&D 연구시설단지,1659,2022-01-31T15:00:00.000Z
29,R&D 연구시설단지,2193,2022-02-01T15:00:00.000Z
30,R&D 연구시설단지,2546,2022-02-02T15:00:00.000Z
31,R&D 연구시설단지,2862,2022-02-03T15:00:00.000Z
32,R&D 연구시설단지,2588,2022-02-04T15:00:00.000Z
33,R&D 연구시설단지,2826,2022-02-05T15:00:00.000Z
34,R&D 연구시설단지,2197,2022-02-06T15:00:00.000Z
35,R&D 연구시설단지,2515,2022-02-07T15:00:00.000Z
36,R&D 연구시설단지,2293,2022-02-08T15:00:00.000Z
37,R&D 연구시설단지,2421,2022-02-09T15:00:00.000Z
38,R&D 연구시설단지,2387,2022-02-10T15:00:00.000Z
39,R&D 연구시설단지,2742,2022-02-11T15:00:00.000Z
40,R&D 연구시설단지,2925,2022-02-12T15:00:00.000Z
41,R&D 연구시설단지,2278,2022-02-13T15:00:00.000Z
42,R&D 연구시설단지,2448,2022-02-14T15:00:00.000Z
43,R&D 연구시설단지,2586,2022-02-15T15:00:00.000Z
44,R&D 연구시설단지,2284,2022-02-16T15:00:00.000Z
45,R&D 연구시설단지,2853,2022-02-17T15:00:00.000Z
46,R&D 연구시설단지,2314,2022-02-18T15:00:00.000Z
47,R&D 연구시설단지,2508,2022-02-19T15:00:00.000Z
48,R&D 연구시설단지,2263,2022-02-20T15:00:00.000Z
49,R&D 연구시설단지,2149,2022-02-21T15:00:00.000Z
50,R&D 연구시설단지,2432,2022-02-22T15:00:00.000Z
51,R&D 연구시설단지,2396,2022-02-23T15:00:00.000Z
52,R&D 연구시설단지,2407,2022-02-24T15:00:00.000Z
53,R&D 연구시설단지,2829,2022-02-25T15:00:00.000Z
54,R&D 연구시설단지,2389,2022-02-26T15:00:00.000Z
55,R&D 연구시설단지,2214,2022-02-27T15:00:00.000Z
56,R&D 연구시설단지,2619,2022-02-28T15:00:00.000Z
57,R&D 연구시설단지,2508,2022-03-01T15:00:00.000Z
58,R&D 연구시설단지,2122,2022-03-02T15:00:00.000Z
59,미래형자동차,1914,2022-01-03T15:00:00.000Z
60,미래형자동차,1905,2022-01-04T15:00:00.000Z
61,미래형자동차,2177,2022-01-05T15:00:00.000Z
62,미래형자동차,1996,2022-01-06T15:00:00.000Z
63,미래형자동차,2046,2022-01-07T15:00:00.000Z
64,미래형자동차,2059,2022-01-08T15:00:00.000Z
65,미래형자동차,2187,2022-01-09T15:00:00.000Z
66,미래형자동차,1871,2022-01-10T15:00:00.000Z
67,미래형자동차,2134,2022-01-11T15:00:00.000Z
68,미래형자동차,2149,2022-01-12T15:00:00.000Z
69,미래형자동차,1992,2022-01-13T15:00:00.000Z
70,미래형자동차,2266,2022-01-14T15:00:00.000Z
71,미래형자동차,2018,2022-01-15T15:00:00.000Z
72,미래형자동차,2017,2022-01-16T15:00:00.000Z
73,미래형자동차,2299,2022-01-17T15:00:00.000Z
74,미래형자동차,2005,2022-01-18T15:00:00.000Z
75,미래형자동차,2115,2022-01-19T15:00:00.000Z
76,미래형자동차,2182,2022-01-20T15:00:00.000Z
77,미래형자동차,2055,2022-01-21T15:00:00.000Z
78,미래형자동차,1752,2022-01-22T15:00:00.000Z
79,미래형자동차,2161,2022-01-23T15:00:00.000Z
80,미래형자동차,2208,2022-01-24T15:00:00.000Z
81,미래형자동차,2206,2022-01-25T15:00:00.000Z
82,미래형자동차,2410,2022-01-26T15:00:00.000Z
