,MAC,ALIVE
0,D865950400A0,0
1,D865950400A1,0
2,D865950400A2,0
3,D865950400A3,0
4,D865950400A4,0
5,D865950400A5,0
6,D865950400A6,0
7,D865950400A7,0
8,D865950400A8,0
9,D865950400A9,0
10,D865950400AA,0
11,D865950400AB,0
12,D865950400AC,0
13,D865950400AD,0
14,D865950400AE,0
15,D865950400AF,0
16,D865950400B0,0
17,D865950400B1,0
18,D865950400B2,0
19,D865950400B3,0
20,D865950400B4,0
21,D865950400B5,0
22,D865950400B6,0
23,D865950400B7,0
24,D865950400B8,0
25,D865950400B9,0
26,D865950400BA,0
27,D865950400BB,0
28,D865950400BC,0
29,D865950400BD,0
30,D865950400BF,0
31,D865950400C0,0
32,D865950400C1,0
33,D865950400C2,0
34,D865950400C3,0
35,D865950400C4,0
36,D865950400C5,0
37,D865950400C6,0
38,D865950400C7,0
39,D865950400C8,0
40,D865950400C9,0
41,D865950400CA,0
42,D865950400CB,0
43,D865950400CC,0
44,D865950400CD,0
45,D865950400CE,0
46,D865950400CF,0
47,D865950400D0,0
48,D865950400D1,0
