,zone,time,MAC,dust,superdust,tvoc,temp,humid
0,주거단지,2022-02-11T09:00:00.000Z,225399960593880,55,70,838.0,9,26
1,미래형 자동차1,2022-02-11T09:00:00.000Z,226499472221656,43,56,268.0,8,29
2,미래형 자동차2,2022-02-11T09:00:00.000Z,227598983849432,52,67,828.0,8,29
3,미래형 자동차3,2022-02-11T09:00:00.000Z,228698495477208,50,62,1005.0,9,27
4,R&D 연구시설단지,2022-02-11T09:00:00.000Z,229798007104984,47,61,765.0,8,27
5,주거단지,2022-02-11T10:00:00.000Z,225399960593880,63,76,1494.0,7,31
6,미래형 자동차1,2022-02-11T10:00:00.000Z,226499472221656,48,62,315.0,5,35
7,미래형 자동차2,2022-02-11T10:00:00.000Z,227598983849432,57,72,1137.0,6,34
8,미래형 자동차3,2022-02-11T10:00:00.000Z,228698495477208,53,67,1320.0,6,33
9,R&D 연구시설단지,2022-02-11T10:00:00.000Z,229798007104984,53,68,1532.0,5,34
10,주거단지,2022-02-11T11:00:00.000Z,225399960593880,68,79,,5,33
11,미래형 자동차1,2022-02-11T11:00:00.000Z,226499472221656,46,59,411.0,4,43
12,미래형 자동차2,2022-02-11T11:00:00.000Z,227598983849432,59,74,1247.0,4,40
13,미래형 자동차3,2022-02-11T11:00:00.000Z,228698495477208,55,69,1479.0,4,37
14,R&D 연구시설단지,2022-02-11T11:00:00.000Z,229798007104984,56,72,1709.0,3,43
15,주거단지,2022-02-11T12:00:00.000Z,225399960593880,71,82,1818.0,3,40
16,미래형 자동차1,2022-02-11T12:00:00.000Z,226499472221656,48,62,804.0,2,49
17,미래형 자동차2,2022-02-11T12:00:00.000Z,227598983849432,60,76,1378.0,2,46
18,미래형 자동차3,2022-02-11T12:00:00.000Z,228698495477208,55,70,1496.0,2,43
19,R&D 연구시설단지,2022-02-11T12:00:00.000Z,229798007104984,66,85,1753.0,1,46
20,주거단지,2022-02-11T13:00:00.000Z,225399960593880,70,81,1646.0,2,46
21,미래형 자동차1,2022-02-11T13:00:00.000Z,226499472221656,47,60,438.0,1,57
22,미래형 자동차2,2022-02-11T13:00:00.000Z,227598983849432,62,78,1462.0,1,47
23,미래형 자동차3,2022-02-11T13:00:00.000Z,228698495477208,57,72,1713.0,1,45
24,R&D 연구시설단지,2022-02-11T13:00:00.000Z,229798007104984,71,92,,0,47
25,주거단지,2022-02-11T14:00:00.000Z,225399960593880,74,85,1841.0,2,46
26,미래형 자동차1,2022-02-11T14:00:00.000Z,226499472221656,48,62,892.0,1,53
27,미래형 자동차2,2022-02-11T14:00:00.000Z,227598983849432,65,81,1435.0,1,49
28,미래형 자동차3,2022-02-11T14:00:00.000Z,228698495477208,59,74,1577.0,1,47
29,R&D 연구시설단지,2022-02-11T14:00:00.000Z,229798007104984,77,99,,0,50
30,주거단지,2022-02-11T15:00:00.000Z,225399960593880,74,85,1454.0,1,50
31,미래형 자동차1,2022-02-11T15:00:00.000Z,226499472221656,47,61,526.0,0,58
32,미래형 자동차2,2022-02-11T15:00:00.000Z,227598983849432,63,81,1218.0,0,54
33,미래형 자동차3,2022-02-11T15:00:00.000Z,228698495477208,60,76,1468.0,0,53
34,R&D 연구시설단지,2022-02-11T15:00:00.000Z,229798007104984,77,100,1510.0,-1,52
35,주거단지,2022-02-11T16:00:00.000Z,225399960593880,74,86,1509.0,1,50
36,미래형 자동차1,2022-02-11T16:00:00.000Z,226499472221656,48,61,771.0,-1,58
37,미래형 자동차2,2022-02-11T16:00:00.000Z,227598983849432,69,85,1447.0,-1,54
38,미래형 자동차3,2022-02-11T16:00:00.000Z,228698495477208,62,78,1579.0,0,54
39,R&D 연구시설단지,2022-02-11T16:00:00.000Z,229798007104984,82,105,,-1,52
40,주거단지,2022-02-11T17:00:00.000Z,225399960593880,75,87,1533.0,0,52
41,미래형 자동차1,2022-02-11T17:00:00.000Z,226499472221656,46,60,739.0,-1,64
42,미래형 자동차2,2022-02-11T17:00:00.000Z,227598983849432,66,83,1352.0,-1,59
43,미래형 자동차3,2022-02-11T17:00:00.000Z,228698495477208,61,78,1487.0,-1,58
44,R&D 연구시설단지,2022-02-11T17:00:00.000Z,229798007104984,75,97,1546.0,-1,54
45,주거단지,2022-02-11T18:00:00.000Z,225399960593880,74,86,1500.0,0,60
46,미래형 자동차1,2022-02-11T18:00:00.000Z,226499472221656,46,60,478.0,-1,66
47,미래형 자동차2,2022-02-11T18:00:00.000Z,227598983849432,64,82,1325.0,-1,63
48,미래형 자동차3,2022-02-11T18:00:00.000Z,228698495477208,61,77,1515.0,-1,66
49,R&D 연구시설단지,2022-02-11T18:00:00.000Z,229798007104984,74,96,1523.0,-1,59
50,주거단지,2022-02-11T19:00:00.000Z,225399960593880,75,87,1599.0,0,59
51,미래형 자동차1,2022-02-11T19:00:00.000Z,226499472221656,47,61,612.0,-1,72
52,미래형 자동차2,2022-02-11T19:00:00.000Z,227598983849432,65,82,1340.0,-1,62
53,미래형 자동차3,2022-02-11T19:00:00.000Z,228698495477208,61,77,1553.0,-1,66
54,R&D 연구시설단지,2022-02-11T19:00:00.000Z,229798007104984,78,100,1467.0,-1,60
55,주거단지,2022-02-11T20:00:00.000Z,225399960593880,78,90,1765.0,0,63
56,미래형 자동차1,2022-02-11T20:00:00.000Z,226499472221656,49,63,1160.0,-1,79
57,미래형 자동차2,2022-02-11T20:00:00.000Z,227598983849432,67,84,1374.0,-1,68
58,미래형 자동차3,2022-02-11T20:00:00.000Z,228698495477208,62,79,1578.0,-1,74
59,R&D 연구시설단지,2022-02-11T20:00:00.000Z,229798007104984,78,101,1565.0,-1,71
60,주거단지,2022-02-11T21:00:00.000Z,225399960593880,78,90,1689.0,0,66
61,미래형 자동차1,2022-02-11T21:00:00.000Z,226499472221656,48,62,829.0,-1,76
62,미래형 자동차2,2022-02-11T21:00:00.000Z,227598983849432,67,84,1367.0,-1,69
63,미래형 자동차3,2022-02-11T21:00:00.000Z,228698495477208,62,79,1554.0,-1,75
64,R&D 연구시설단지,2022-02-11T21:00:00.000Z,229798007104984,77,100,1624.0,-1,74
65,주거단지,2022-02-11T22:00:00.000Z,225399960593880,78,91,1939.0,-1,68
66,미래형 자동차1,2022-02-11T22:00:00.000Z,226499472221656,48,62,1492.0,-2,80
67,미래형 자동차2,2022-02-11T22:00:00.000Z,227598983849432,71,86,1322.0,-1,68
68,미래형 자동차3,2022-02-11T22:00:00.000Z,228698495477208,64,80,1542.0,-1,74
