,zone,visitor,time,rssi_max,src_cnt_min,src_cnt_max,freq
0,미래형자동차,85,2022-02-09T15:00:00.000Z,60,1,1,1d
1,주거단지,512,2022-02-09T15:00:00.000Z,60,1,1,1d
2,R&D 연구시설단지,63,2022-02-09T15:00:00.000Z,60,1,1,1d
3,미래형자동차,78,2022-02-10T15:00:00.000Z,60,1,1,1d
4,주거단지,505,2022-02-10T15:00:00.000Z,60,1,1,1d
5,R&D 연구시설단지,48,2022-02-10T15:00:00.000Z,60,1,1,1d
6,미래형자동차,37,2022-02-11T15:00:00.000Z,60,1,1,1d
7,주거단지,470,2022-02-11T15:00:00.000Z,60,1,1,1d
8,R&D 연구시설단지,37,2022-02-11T15:00:00.000Z,60,1,1,1d
9,미래형자동차,40,2022-02-12T15:00:00.000Z,60,1,1,1d
10,주거단지,345,2022-02-12T15:00:00.000Z,60,1,1,1d
11,R&D 연구시설단지,24,2022-02-12T15:00:00.000Z,60,1,1,1d
12,미래형자동차,69,2022-02-13T15:00:00.000Z,60,1,1,1d
13,주거단지,452,2022-02-13T15:00:00.000Z,60,1,1,1d
14,R&D 연구시설단지,65,2022-02-13T15:00:00.000Z,60,1,1,1d
15,미래형자동차,67,2022-02-14T15:00:00.000Z,60,1,1,1d
16,주거단지,492,2022-02-14T15:00:00.000Z,60,1,1,1d
17,R&D 연구시설단지,72,2022-02-14T15:00:00.000Z,60,1,1,1d
18,미래형자동차,90,2022-02-15T15:00:00.000Z,60,1,1,1d
19,주거단지,539,2022-02-15T15:00:00.000Z,60,1,1,1d
20,R&D 연구시설단지,74,2022-02-15T15:00:00.000Z,60,1,1,1d
21,전체,703,2022-02-15T15:00:00.000Z,60,1,1,1d
22,미래형자동차,90,2022-02-16T15:00:00.000Z,60,1,1,1d
23,주거단지,505,2022-02-16T15:00:00.000Z,60,1,1,1d
24,R&D 연구시설단지,82,2022-02-16T15:00:00.000Z,60,1,1,1d
25,전체,677,2022-02-16T15:00:00.000Z,60,1,1,1d
26,미래형자동차,82,2022-02-17T15:00:00.000Z,60,1,1,1d
27,주거단지,535,2022-02-17T15:00:00.000Z,60,1,1,1d
28,R&D 연구시설단지,66,2022-02-17T15:00:00.000Z,60,1,1,1d
29,전체,683,2022-02-17T15:00:00.000Z,60,1,1,1d
30,미래형자동차,49,2022-02-18T15:00:00.000Z,60,1,1,1d
31,주거단지,402,2022-02-18T15:00:00.000Z,60,1,1,1d
32,R&D 연구시설단지,60,2022-02-18T15:00:00.000Z,60,1,1,1d
33,전체,511,2022-02-18T15:00:00.000Z,60,1,1,1d
34,미래형자동차,38,2022-02-19T15:00:00.000Z,60,1,1,1d
35,주거단지,411,2022-02-19T15:00:00.000Z,60,1,1,1d
36,R&D 연구시설단지,32,2022-02-19T15:00:00.000Z,60,1,1,1d
37,전체,481,2022-02-19T15:00:00.000Z,60,1,1,1d
38,미래형자동차,81,2022-02-20T15:00:00.000Z,60,1,1,1d
39,주거단지,554,2022-02-20T15:00:00.000Z,60,1,1,1d
40,R&D 연구시설단지,73,2022-02-20T15:00:00.000Z,60,1,1,1d
41,전체,708,2022-02-20T15:00:00.000Z,60,1,1,1d
42,미래형자동차,67,2022-02-21T15:00:00.000Z,60,1,1,1d
43,주거단지,541,2022-02-21T15:00:00.000Z,60,1,1,1d
44,R&D 연구시설단지,72,2022-02-21T15:00:00.000Z,60,1,1,1d
45,전체,680,2022-02-21T15:00:00.000Z,60,1,1,1d
46,미래형자동차,85,2022-02-22T15:00:00.000Z,60,1,1,1d
47,주거단지,569,2022-02-22T15:00:00.000Z,60,1,1,1d
48,R&D 연구시설단지,85,2022-02-22T15:00:00.000Z,60,1,1,1d
49,전체,739,2022-02-22T15:00:00.000Z,60,1,1,1d
50,미래형자동차,67,2022-02-23T15:00:00.000Z,60,1,1,1d
51,주거단지,589,2022-02-23T15:00:00.000Z,60,1,1,1d
52,R&D 연구시설단지,59,2022-02-23T15:00:00.000Z,60,1,1,1d
53,전체,715,2022-02-23T15:00:00.000Z,60,1,1,1d
54,미래형자동차,97,2022-02-24T15:00:00.000Z,60,1,1,1d
55,주거단지,491,2022-02-24T15:00:00.000Z,60,1,1,1d
56,R&D 연구시설단지,61,2022-02-24T15:00:00.000Z,60,1,1,1d
57,전체,649,2022-02-24T15:00:00.000Z,60,1,1,1d
58,미래형자동차,48,2022-02-25T15:00:00.000Z,60,1,1,1d
59,주거단지,454,2022-02-25T15:00:00.000Z,60,1,1,1d
60,R&D 연구시설단지,37,2022-02-25T15:00:00.000Z,60,1,1,1d
61,전체,539,2022-02-25T15:00:00.000Z,60,1,1,1d
62,미래형자동차,30,2022-02-26T15:00:00.000Z,60,1,1,1d
63,주거단지,339,2022-02-26T15:00:00.000Z,60,1,1,1d
64,R&D 연구시설단지,36,2022-02-26T15:00:00.000Z,60,1,1,1d
65,전체,405,2022-02-26T15:00:00.000Z,60,1,1,1d
66,미래형자동차,57,2022-02-27T15:00:00.000Z,60,1,1,1d
67,주거단지,457,2022-02-27T15:00:00.000Z,60,1,1,1d
68,R&D 연구시설단지,51,2022-02-27T15:00:00.000Z,60,1,1,1d
69,전체,565,2022-02-27T15:00:00.000Z,60,1,1,1d
70,미래형자동차,37,2022-02-28T15:00:00.000Z,60,1,1,1d
71,주거단지,346,2022-02-28T15:00:00.000Z,60,1,1,1d
72,R&D 연구시설단지,34,2022-02-28T15:00:00.000Z,60,1,1,1d
73,전체,417,2022-02-28T15:00:00.000Z,60,1,1,1d
74,미래형자동차,51,2022-03-01T15:00:00.000Z,60,1,1,1d
75,주거단지,514,2022-03-01T15:00:00.000Z,60,1,1,1d
76,R&D 연구시설단지,48,2022-03-01T15:00:00.000Z,60,1,1,1d
77,전체,613,2022-03-01T15:00:00.000Z,60,1,1,1d
78,미래형자동차,62,2022-03-02T15:00:00.000Z,60,1,1,1d
79,주거단지,557,2022-03-02T15:00:00.000Z,60,1,1,1d
80,R&D 연구시설단지,50,2022-03-02T15:00:00.000Z,60,1,1,1d
81,전체,669,2022-03-02T15:00:00.000Z,60,1,1,1d
