,풍류주택가,풍류매화 주택가,부안 상설매장,부안초등학교,시외버스터미널,풍류매화 상가거리,해뜰마루,TIME
0,1,3,8,3,19,2,0,2021-08-05 1:00
1,0,1,11,3,23,6,0,2021-08-05 2:00
2,1,2,19,3,25,6,0,2021-08-05 3:00
3,1,3,14,2,19,7,0,2021-08-05 4:00
4,0,4,11,2,22,4,0,2021-08-05 5:00
5,0,1,11,2,19,6,0,2021-08-05 6:00
6,1,2,9,2,17,4,0,2021-08-05 7:00
7,0,2,11,3,30,5,0,2021-08-05 8:00
8,0,1,14,2,21,6,0,2021-08-05 9:00
9,1,2,19,4,21,3,0,2021-08-05 10:00
10,1,1,9,2,15,1,0,2021-08-05 11:00
11,1,1,9,4,13,2,0,2021-08-05 12:00
12,1,1,4,5,16,0,0,2021-08-05 13:00
13,1,1,3,2,11,0,0,2021-08-05 14:00
14,1,1,4,4,6,1,0,2021-08-05 15:00
15,1,1,4,4,6,1,0,2021-08-05 16:00
16,1,1,4,3,4,1,0,2021-08-05 17:00
17,1,1,4,3,4,1,0,2021-08-05 18:00
18,1,2,3,3,4,1,0,2021-08-05 19:00
19,0,2,3,4,4,0,0,2021-08-05 20:00
20,0,1,6,2,11,1,0,2021-08-05 21:00
21,0,1,9,2,18,2,0,2021-08-05 22:00
22,0,1,16,5,16,5,0,2021-08-05 23:00
23,1,1,12,2,27,5,0,2021-08-06 0:00
24,0,3,9,3,22,7,0,2021-08-06 1:00
25,0,2,11,4,19,9,0,2021-08-06 2:00
26,1,2,10,3,13,6,0,2021-08-06 3:00
27,0,1,9,2,8,0,0,2021-08-06 4:00
28,0,0,0,0,0,0,0,2021-08-06 5:00
29,0,0,0,0,0,0,0,2021-08-06 6:00
30,0,0,0,0,0,0,0,2021-08-06 7:00
31,0,0,0,0,0,0,0,2021-08-06 8:00
32,0,0,0,0,0,0,0,2021-08-06 9:00
33,0,0,0,0,0,0,0,2021-08-06 10:00
34,0,0,0,0,0,0,0,2021-08-06 11:00
35,0,0,0,0,0,0,0,2021-08-06 12:00
36,0,0,0,0,0,0,0,2021-08-06 13:00
37,0,0,0,0,0,0,0,2021-08-06 14:00
38,0,0,0,0,0,0,0,2021-08-06 15:00
39,0,0,0,0,0,0,0,2021-08-06 16:00
40,0,0,0,0,0,0,0,2021-08-06 17:00
41,0,0,0,0,0,0,0,2021-08-06 18:00
42,0,0,0,0,0,0,0,2021-08-06 19:00
43,0,0,0,0,0,0,0,2021-08-06 20:00
44,0,0,0,0,0,0,0,2021-08-06 21:00
45,0,0,0,0,0,0,0,2021-08-06 22:00
46,0,0,0,0,0,0,0,2021-08-06 23:00
47,0,0,0,0,0,0,0,2021-08-07 0:00
48,0,0,0,0,0,0,0,2021-08-07 1:00
49,0,0,0,0,0,0,0,2021-08-07 2:00
50,0,0,0,0,0,0,0,2021-08-07 3:00
51,0,0,0,0,0,0,0,2021-08-07 4:00
52,0,0,0,0,0,0,0,2021-08-07 5:00
53,0,0,0,0,0,0,0,2021-08-07 6:00
54,0,0,0,0,0,0,0,2021-08-07 7:00
55,0,0,0,0,0,0,0,2021-08-07 8:00
56,0,0,0,0,0,0,0,2021-08-07 9:00
57,0,0,0,0,0,0,0,2021-08-07 10:00
58,0,0,0,0,0,0,0,2021-08-07 11:00
59,0,0,0,0,0,0,0,2021-08-07 12:00
60,0,0,0,0,0,0,0,2021-08-07 13:00
61,0,0,0,0,0,0,0,2021-08-07 14:00
62,0,0,0,0,0,0,0,2021-08-07 15:00
63,0,0,0,0,0,0,0,2021-08-07 16:00
64,0,0,0,0,0,0,0,2021-08-07 17:00
65,0,0,0,0,0,0,0,2021-08-07 18:00
66,0,0,0,0,0,0,0,2021-08-07 19:00
67,0,0,0,0,0,0,0,2021-08-07 20:00
68,0,0,0,0,0,0,0,2021-08-07 21:00
69,0,0,0,0,0,0,0,2021-08-07 22:00
70,0,0,0,0,0,0,0,2021-08-07 23:00
71,0,0,0,0,0,0,0,2021-08-08 0:00
72,0,0,0,0,0,0,0,2021-08-08 1:00
73,0,0,0,0,0,0,0,2021-08-08 2:00
74,0,0,0,0,0,0,0,2021-08-08 3:00
75,0,0,0,0,0,0,0,2021-08-08 4:00
76,0,0,0,0,0,0,0,2021-08-08 5:00
77,0,0,0,0,0,0,0,2021-08-08 6:00
78,0,0,0,0,0,0,0,2021-08-08 7:00
79,0,0,0,0,0,0,0,2021-08-08 8:00
80,0,0,0,0,0,0,0,2021-08-08 9:00
81,0,0,0,0,0,0,0,2021-08-08 10:00
82,0,0,0,0,0,0,0,2021-08-08 11:00
83,0,0,0,0,0,0,0,2021-08-08 12:00
84,0,0,0,0,0,0,0,2021-08-08 13:00
85,0,0,0,0,0,0,0,2021-08-08 14:00
86,0,0,0,0,0,0,0,2021-08-08 15:00
87,0,0,0,0,0,0,0,2021-08-08 16:00
88,0,0,0,0,0,0,0,2021-08-08 17:00
89,0,0,0,0,0,0,0,2021-08-08 18:00
90,0,0,0,0,0,0,0,2021-08-08 19:00
91,0,0,0,0,0,0,0,2021-08-08 20:00
92,0,0,0,0,0,0,0,2021-08-08 21:00
93,0,0,0,0,0,0,0,2021-08-08 22:00
94,0,0,0,0,0,0,0,2021-08-08 23:00
95,0,0,0,0,0,0,0,2021-08-09 0:00
96,0,0,0,0,0,0,0,2021-08-09 1:00
97,0,0,0,0,0,0,0,2021-08-09 2:00
98,0,0,0,0,0,0,0,2021-08-09 3:00
99,0,0,0,0,0,0,0,2021-08-09 4:00
100,0,0,0,0,0,0,0,2021-08-09 5:00
101,0,0,0,0,0,0,0,2021-08-09 6:00
102,0,0,0,0,0,0,0,2021-08-09 7:00
103,0,0,0,0,0,0,0,2021-08-09 8:00
104,0,0,0,0,0,0,0,2021-08-09 9:00
105,0,0,0,0,0,0,0,2021-08-09 10:00
106,0,0,0,0,0,0,0,2021-08-09 11:00
107,0,0,0,0,0,0,0,2021-08-09 12:00
108,0,0,0,0,0,0,0,2021-08-09 13:00
109,0,0,0,0,0,0,0,2021-08-09 14:00
110,0,0,0,0,0,0,0,2021-08-09 15:00
111,0,0,0,0,0,0,0,2021-08-09 16:00
112,0,0,0,0,0,0,0,2021-08-09 17:00
113,0,0,0,0,0,0,0,2021-08-09 18:00
114,0,0,0,0,0,0,0,2021-08-09 19:00
115,0,0,0,0,0,0,0,2021-08-09 20:00
116,0,0,0,0,0,0,0,2021-08-09 21:00
117,0,0,0,0,0,0,0,2021-08-09 22:00
118,0,0,0,0,0,0,0,2021-08-09 23:00
119,0,0,0,0,0,0,0,2021-08-10 0:00
120,0,0,0,0,0,0,0,2021-08-10 1:00
121,0,0,0,0,0,0,0,2021-08-10 2:00
122,0,0,0,0,0,0,0,2021-08-10 3:00
123,0,0,0,0,0,0,0,2021-08-10 4:00
124,0,0,0,0,0,0,0,2021-08-10 5:00
125,0,0,0,0,0,0,0,2021-08-10 6:00
126,0,0,0,0,0,0,0,2021-08-10 7:00
127,0,0,0,0,0,0,0,2021-08-10 8:00
128,0,0,0,0,0,0,0,2021-08-10 9:00
129,0,0,0,0,0,0,0,2021-08-10 10:00
130,0,0,0,0,0,0,0,2021-08-10 11:00
131,0,0,0,0,0,0,0,2021-08-10 12:00
132,0,0,0,0,0,0,0,2021-08-10 13:00
133,0,0,0,0,0,0,0,2021-08-10 14:00
134,0,0,0,0,0,0,0,2021-08-10 15:00
135,0,0,0,0,0,0,0,2021-08-10 16:00
136,0,0,0,0,0,0,0,2021-08-10 17:00
137,0,0,0,0,0,0,0,2021-08-10 18:00
138,0,0,0,0,0,0,0,2021-08-10 19:00
139,0,0,0,0,0,0,0,2021-08-10 20:00
140,0,0,0,0,0,0,0,2021-08-10 21:00
141,0,0,0,0,0,0,0,2021-08-10 22:00
142,0,0,0,0,0,0,0,2021-08-10 23:00
143,0,0,0,0,0,0,0,2021-08-11 0:00
144,0,0,0,0,0,0,0,2021-08-11 1:00
145,0,0,0,0,0,0,0,2021-08-11 2:00
146,0,0,0,0,0,0,0,2021-08-11 3:00
147,0,0,0,0,0,0,0,2021-08-11 4:00
148,0,0,0,0,0,0,0,2021-08-11 5:00
149,0,0,0,0,0,0,0,2021-08-11 6:00
150,0,0,0,0,0,0,0,2021-08-11 7:00
151,0,0,0,0,0,0,0,2021-08-11 8:00
152,0,0,0,0,0,0,0,2021-08-11 9:00
153,0,0,0,0,0,0,0,2021-08-11 10:00
154,0,0,0,0,0,0,0,2021-08-11 11:00
155,0,0,0,0,0,0,0,2021-08-11 12:00
156,0,0,0,0,0,0,0,2021-08-11 13:00
157,0,0,0,0,0,0,0,2021-08-11 14:00
158,0,0,0,0,0,0,0,2021-08-11 15:00
159,0,0,0,0,0,0,0,2021-08-11 16:00
