,풍류주택가,풍류매화 주택가,부안 상설매장,부안초등학교,시외버스터미널,풍류매화 상가거리,해뜰마루,TIME
0,89,171,900,172,1834,639,0,2021-08-05
1,24,44,269,72,638,215,0,2021-08-06
2,0,0,0,0,0,0,0,2021-08-07
3,0,0,0,0,0,0,0,2021-08-08
4,0,0,0,0,0,0,0,2021-08-09
5,0,0,0,0,0,0,0,2021-08-10
6,0,0,0,0,0,0,0,2021-08-11
7,0,0,0,0,0,0,0,2021-08-12
8,0,0,0,0,0,0,0,2021-08-13
9,0,0,0,0,0,0,0,2021-08-14
10,0,0,0,0,0,0,0,2021-08-15
11,0,0,0,0,0,0,0,2021-08-16
12,0,0,0,0,0,0,0,2021-08-17
13,47,137,624,170,1531,449,0,2021-08-18
14,80,230,1196,319,2706,724,0,2021-08-19
15,51,272,1165,279,2527,760,0,2021-08-20
16,49,209,1081,173,1951,551,0,2021-08-21
17,58,170,861,221,1773,564,0,2021-08-22
18,74,218,1075,233,2289,639,0,2021-08-23
19,80,290,1182,320,2460,772,0,2021-08-24
20,89,242,1286,395,2695,802,0,2021-08-25
21,76,240,1206,356,2612,810,0,2021-08-26
22,59,235,1178,336,2571,803,0,2021-08-27
23,51,314,1179,239,2264,673,0,2021-08-28
24,102,478,1390,310,2889,721,0,2021-08-29
25,84,271,1306,395,2934,843,0,2021-08-30
26,75,245,1226,369,2500,717,0,2021-08-31
27,93,438,1469,446,2638,918,0,2021-09-01
28,110,292,1387,448,2890,872,0,2021-09-02
29,79,263,1444,367,2895,924,0,2021-09-03
30,98,331,1355,288,2838,783,0,2021-09-04
31,75,310,1092,254,2058,573,0,2021-09-05
32,90,277,1296,374,2765,751,0,2021-09-06
33,91,263,1417,429,3048,952,0,2021-09-07
34,115,315,1481,439,3054,904,0,2021-09-08
35,110,403,1493,429,3099,874,0,2021-09-09
36,123,330,1489,413,3221,962,0,2021-09-10
37,84,351,1385,218,2781,802,0,2021-09-11
38,102,879,1069,244,2268,647,0,2021-09-12
39,148,328,1643,472,3338,1043,0,2021-09-13
40,142,375,1628,519,3545,987,0,2021-09-14
41,110,353,1486,451,3157,940,0,2021-09-15
42,113,399,1493,429,3486,984,0,2021-09-16
43,113,639,1711,443,3867,1071,0,2021-09-17
44,88,626,1722,323,3474,1099,0,2021-09-18
45,65,551,1645,265,3063,1146,0,2021-09-19
46,82,566,1756,235,2987,976,0,2021-09-20
47,83,283,907,238,2418,682,0,2021-09-21
48,59,211,883,259,2645,742,0,2021-09-22
49,93,421,1422,506,3549,1093,0,2021-09-23
50,107,266,1409,417,3500,989,0,2021-09-24
51,73,337,1291,316,3036,857,0,2021-09-25
52,69,295,1006,299,2367,717,0,2021-09-26
53,90,284,1371,488,3328,999,0,2021-09-27
54,74,258,1230,436,3090,886,0,2021-09-28
55,71,267,1145,472,2744,784,0,2021-09-29
56,109,276,1304,525,3181,953,0,2021-09-30
57,83,307,1359,502,3296,968,0,2021-10-01
58,91,328,1142,318,2769,816,0,2021-10-02
59,77,309,914,236,2070,631,0,2021-10-03
60,80,303,1155,374,2499,785,0,2021-10-04
61,94,293,1363,528,3066,954,0,2021-10-05
62,97,274,1383,540,2733,891,0,2021-10-06
63,99,491,1437,531,3019,922,0,2021-10-07
64,94,385,1448,464,3171,1000,0,2021-10-08
65,54,321,1154,265,2370,790,0,2021-10-09
66,62,503,909,232,1932,617,0,2021-10-10
67,71,495,1245,355,2885,845,0,2021-10-11
68,99,287,1430,554,3221,944,0,2021-10-12
69,105,362,1399,591,3232,937,0,2021-10-13
70,82,289,1282,553,3377,953,0,2021-10-14
71,100,269,1241,473,2924,901,0,2021-10-15
72,85,362,1364,358,3131,923,0,2021-10-16
73,82,390,1214,358,2748,774,0,2021-10-17
74,112,539,1639,594,3561,1076,0,2021-10-18
75,130,356,1540,657,3590,1169,0,2021-10-19
76,122,360,1614,625,3648,1126,0,2021-10-20
77,135,378,1645,634,3622,1248,0,2021-10-21
78,113,383,1576,614,3858,1222,0,2021-10-22
79,85,405,1411,312,3367,959,0,2021-10-23
80,93,372,1248,344,2672,865,0,2021-10-24
81,151,398,1702,589,3668,1261,0,2021-10-25
82,123,360,1562,595,3556,1166,0,2021-10-26
83,126,379,1622,602,3548,1235,0,2021-10-27
84,125,381,1628,572,3669,1230,0,2021-10-28
85,101,397,1638,520,3765,1277,0,2021-10-29
86,83,663,1507,426,3609,1109,0,2021-10-30
