,풍류주택가,풍류매화 주택가,부안 상설매장,부안초등학교,시외버스터미널,풍류매화 상가거리,해뜰마루,TIME
0,32,28,143,45,351,105,0,2021-08-08
1,0,0,0,0,0,0,0,2021-08-15
2,99,208,877,220,1531,418,0,2021-08-22
3,156,399,1346,605,2580,826,0,2021-08-29
4,219,447,1783,472,3122,830,0,2021-09-05
5,277,609,1795,429,3139,857,0,2021-09-12
6,208,733,2533,588,3940,1130,0,2021-09-19
7,169,567,1978,574,3496,887,0,2021-09-26
8,210,542,1781,548,3495,1035,0,2021-10-03
9,308,490,1923,554,3150,954,0,2021-10-10
10,209,661,2095,582,3959,1087,0,2021-10-17
11,273,693,2767,749,4628,1418,0,2021-10-24
